"UserID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_score","Segment"
1358932,46,4,64,3,1,1,311,"Potential Loyalists"
1358933,114,93,4528.75,3,4,3,343,"Loyalists"
1358934,214,114,432.15,1,4,0,140,"Need Attention"
1358936,62,12,61.74,3,2,1,321,"Potential Loyalists"
1358937,40,12,208.87,3,2,0,320,"Potential Loyalists"
1358940,196,22,31.43,2,2,1,221,"Promising"
1358942,203,20,29.89,2,2,1,221,"Promising"
1358943,143,187,14811.81,2,4,3,243,"Promising"
1358944,61,15,182,3,2,0,320,"Potential Loyalists"
1358945,208,61,1240.52,2,4,0,240,"Promising"
1358946,190,82,1019.83,2,4,0,240,"Promising"
1358947,106,53,679.35,3,4,0,340,"Potential Loyalists"
1358949,222,75,491.5,1,4,0,140,"Need Attention"
1358951,60,13,212.593,3,2,0,320,"Potential Loyalists"
1358952,211,57,154,1,4,0,140,"Need Attention"
1358953,224,40,170.44,1,3,0,130,"Need Attention"
1358954,227,88,203.53,1,4,0,140,"Need Attention"
1358957,22,5,29.5,3,1,1,311,"Potential Loyalists"
1358958,23,10,76.64,3,2,1,321,"Potential Loyalists"
1358960,218,188,1579.73,1,4,0,140,"Need Attention"
1358961,56,7,46,3,1,1,311,"Potential Loyalists"
1358962,49,11,56,3,2,1,321,"Potential Loyalists"
1358963,80,11,211,3,2,0,320,"Potential Loyalists"
1358964,228,204,3020.98,1,4,3,143,"Promising"
1358966,199,48,118.1191,2,3,0,230,"Promising"
1358970,227,46,172.57,1,3,0,130,"Need Attention"
1358971,225,108,2391.6,1,4,0,140,"Need Attention"
1358972,215,72,779,1,4,0,140,"Need Attention"
1358973,42,43,235.6029,3,3,0,330,"Potential Loyalists"
1358974,212,69,458.94,1,4,0,140,"Need Attention"
1358975,224,53,241.28,1,4,0,140,"Need Attention"
1358978,183,43,1330.41,2,3,0,230,"Promising"
1358981,219,61,1055.85,1,4,0,140,"Need Attention"
1358982,6,10,436.02,4,2,0,420,"Loyalists"
1358985,100,30,187.16,3,2,0,320,"Potential Loyalists"
1358986,9,11,111.43,4,2,0,420,"Loyalists"
1358987,220,34,71.69,1,2,1,121,"Need Attention"
1358988,170,72,1764.2421,2,4,0,240,"Promising"
1358989,221,80,7735.92,1,4,3,143,"Promising"
1358990,224,39,7744.36,1,2,3,123,"Need Attention"
1358992,227,46,4398.5492,1,3,3,133,"Need Attention"
1358994,196,66,454.02,2,4,0,240,"Promising"
1358996,5,8,39.62,4,2,1,421,"Loyalists"
1358997,228,71,1019.03,1,4,0,140,"Need Attention"
1358998,13,2,90.3957,4,1,0,410,"Loyalists"
1359000,7,3,25,4,1,1,411,"Loyalists"
1359001,223,82,12547.75,1,4,3,143,"Promising"
1359005,209,36,24.87,2,2,1,221,"Promising"
1359007,53,92,808.04,3,4,0,340,"Potential Loyalists"
1359008,209,80,19395.05,2,4,3,243,"Promising"
1359011,7,7,12.43,4,1,1,411,"Loyalists"
1359016,96,11,95.5,3,2,0,320,"Potential Loyalists"
1359022,185,43,243.7,2,3,0,230,"Promising"
1359024,23,29,155.26,3,2,0,320,"Potential Loyalists"
1359026,191,13,130,2,2,0,220,"Promising"
1359031,223,33,504,1,2,0,120,"Need Attention"
1359032,0,1,30,4,1,1,411,"Loyalists"
1359036,8,13,33.5,4,2,1,421,"Loyalists"
1359037,20,22,115.9458,4,2,0,420,"Loyalists"
1359038,212,34,370.86,1,2,0,120,"Need Attention"
1359039,9,14,750.9,4,2,0,420,"Loyalists"
1359042,179,72,497.74,2,4,0,240,"Promising"
1359043,50,56,283,3,4,0,340,"Potential Loyalists"
1359045,152,8,36.8,2,2,1,221,"Promising"
1359046,47,6,41.5,3,1,1,311,"Potential Loyalists"
1359048,160,17,47.2977,2,2,1,221,"Promising"
1359050,140,3,100,2,1,0,210,"Promising"
1359051,219,11,63,1,2,1,121,"Need Attention"
1359055,134,13,99.88,2,2,0,220,"Promising"
1359057,68,6,30.4,3,1,1,311,"Potential Loyalists"
1359060,173,24,126.33,2,2,0,220,"Promising"
1359061,228,63,291.5,1,4,0,140,"Need Attention"
1359064,216,7,54.446,1,1,1,111,"Need Attention"
1359065,202,45,376.54,2,3,0,230,"Promising"
1359066,225,87,3913.73,1,4,3,143,"Promising"
1359068,56,9,31.8,3,2,1,321,"Potential Loyalists"
1359070,182,113,1936.9012,2,4,0,240,"Promising"
1359071,165,22,53.94,2,2,1,221,"Promising"
1359073,223,91,2530.55,1,4,0,140,"Need Attention"
1359078,227,30,207.75,1,2,0,120,"Need Attention"
1359079,226,49,215,1,3,0,130,"Need Attention"
1359080,228,82,228,1,4,0,140,"Need Attention"
1359081,20,13,97.58,4,2,0,420,"Loyalists"
1359083,197,15,79,2,2,0,220,"Promising"
1359084,185,30,7612.097,2,2,3,223,"Promising"
1359085,228,154,3268,1,4,3,143,"Promising"
1359086,60,28,240.17,3,2,0,320,"Potential Loyalists"
1359089,7,3,10,4,1,1,411,"Loyalists"
1359090,127,63,109.5299,2,4,0,240,"Promising"
1359093,73,41,874.37,3,3,0,330,"Potential Loyalists"
1359094,100,10,81.81,3,2,0,320,"Potential Loyalists"
1359096,57,22,521.65,3,2,0,320,"Potential Loyalists"
1359097,27,39,1467.37,3,2,0,320,"Potential Loyalists"
1359098,228,249,14335.19,1,4,3,143,"Promising"
1359099,225,78,3084.4834,1,4,3,143,"Promising"
1359103,186,35,54.94,2,2,1,221,"Promising"
1359104,1,3,49.3815,4,1,1,411,"Loyalists"
1359107,12,6,30,4,1,1,411,"Loyalists"
1359111,200,113,1002.0281,2,4,0,240,"Promising"
1359112,20,21,255.78,4,2,0,420,"Loyalists"
1359118,47,53,7160.05,3,4,3,343,"Loyalists"
1359125,226,67,30059.3965,1,4,3,143,"Promising"
1359126,123,3,95.9684,2,1,0,210,"Promising"
1359128,70,20,145.15,3,2,0,320,"Potential Loyalists"
1359129,211,10,71.55,1,2,1,121,"Need Attention"
1359130,206,66,166,2,4,0,240,"Promising"
1359131,228,186,3204.85,1,4,3,143,"Promising"
1359132,223,68,237.44,1,4,0,140,"Need Attention"
1359133,213,81,1317.17,1,4,0,140,"Need Attention"
1359134,223,26,292.31,1,2,0,120,"Need Attention"
1359135,17,13,26.5,4,2,1,421,"Loyalists"
1359137,13,12,55.07,4,2,1,421,"Loyalists"
1359139,26,12,268.3,3,2,0,320,"Potential Loyalists"
1359140,56,35,581.49,3,2,0,320,"Potential Loyalists"
1359141,32,15,1743.3,3,2,0,320,"Potential Loyalists"
1359142,83,32,93.6,3,2,0,320,"Potential Loyalists"
1359143,220,33,166.95,1,2,0,120,"Need Attention"
1359144,33,34,129.17,3,2,0,320,"Potential Loyalists"
1359146,223,141,8730.58,1,4,3,143,"Promising"
1359147,227,203,5582.69,1,4,3,143,"Promising"
1359148,93,38,711.803,3,2,0,320,"Potential Loyalists"
1359150,38,53,1397.28,3,4,0,340,"Potential Loyalists"
1359152,181,141,1709.79,2,4,0,240,"Promising"
1359153,88,54,2554.0662,3,4,0,340,"Potential Loyalists"
1359155,223,119,1569.83,1,4,0,140,"Need Attention"
1359156,219,69,369.15,1,4,0,140,"Need Attention"
1359158,225,39,668.359,1,2,0,120,"Need Attention"
1359159,69,7,100,3,1,0,310,"Potential Loyalists"
1359160,205,40,679.07,2,3,0,230,"Promising"
1359161,2,4,35,4,1,1,411,"Loyalists"
1359162,6,6,48,4,1,1,411,"Loyalists"
1359163,216,53,47.07,1,4,1,141,"Need Attention"
1359165,2,5,4060.03,4,1,3,413,"Loyalists"
1359166,0,3,27.44,4,1,1,411,"Loyalists"
1359168,17,17,931.5,4,2,0,420,"Loyalists"
1359170,175,71,1743.9,2,4,0,240,"Promising"
1359172,211,91,82.4557,1,4,0,140,"Need Attention"
1359173,10,8,40.65,4,2,1,421,"Loyalists"
1359174,134,115,810.2918,2,4,0,240,"Promising"
1359176,56,44,4853.15,3,3,3,333,"Potential Loyalists"
1359178,223,30,356.61,1,2,0,120,"Need Attention"
1359179,175,57,246.5,2,4,0,240,"Promising"
1359181,175,34,32.4312,2,2,1,221,"Promising"
1359184,226,289,148329.1,1,4,3,143,"Promising"
1359185,22,24,123.91,3,2,0,320,"Potential Loyalists"
1359188,8,9,23.5672,4,2,1,421,"Loyalists"
1359192,51,32,256.6548,3,2,0,320,"Potential Loyalists"
1359194,163,87,389.9602,2,4,0,240,"Promising"
1359198,22,8,32.5,3,2,1,321,"Potential Loyalists"
1359202,17,7,1475.92,4,1,0,410,"Loyalists"
1359203,25,20,68.53,3,2,1,321,"Potential Loyalists"
1359204,81,5,75,3,1,1,311,"Potential Loyalists"
1359206,227,42,824.4,1,3,0,130,"Need Attention"
1359207,53,49,11438.07,3,3,3,333,"Potential Loyalists"
1359209,83,66,1287.76,3,4,0,340,"Potential Loyalists"
1359211,78,11,80.5642,3,2,0,320,"Potential Loyalists"
1359213,2,2,9,4,1,1,411,"Loyalists"
1359215,198,55,983.44,2,4,0,240,"Promising"
1359217,227,25,150,1,2,0,120,"Need Attention"
1359218,16,8,2624.8444,4,2,0,420,"Loyalists"
1359219,17,16,513.8983,4,2,0,420,"Loyalists"
1359220,187,21,666.6713,2,2,0,220,"Promising"
1359223,214,264,29404.17,1,4,3,143,"Promising"
1359224,4,8,153.76,4,2,0,420,"Loyalists"
1359225,4,6,183.3213,4,1,0,410,"Loyalists"
1359226,132,23,103.71,2,2,0,220,"Promising"
1359227,96,27,516.46,3,2,0,320,"Potential Loyalists"
1359230,22,39,307.8892,3,2,0,320,"Potential Loyalists"
1359232,132,124,2639.7119,2,4,0,240,"Promising"
1359234,221,46,212.09,1,3,0,130,"Need Attention"
1359236,222,60,2504,1,4,0,140,"Need Attention"
1359237,225,63,31106.32,1,4,3,143,"Promising"
1359238,207,218,82940.83,2,4,3,243,"Promising"
1359239,47,40,790.0668,3,3,0,330,"Potential Loyalists"
1359241,226,55,1953.89,1,4,0,140,"Need Attention"
1359242,21,28,535.6,3,2,0,320,"Potential Loyalists"
1359244,66,21,65.48,3,2,1,321,"Potential Loyalists"
1359245,185,64,93.04,2,4,0,240,"Promising"
1359246,182,36,195.81,2,2,0,220,"Promising"
1359248,69,11,27.77,3,2,1,321,"Potential Loyalists"
1359249,70,8,150,3,2,0,320,"Potential Loyalists"
1359250,6,5,37.5,4,1,1,411,"Loyalists"
1359252,94,23,90,3,2,0,320,"Potential Loyalists"
1359253,60,127,11584.5951,3,4,3,343,"Loyalists"
1359254,225,79,574.75,1,4,0,140,"Need Attention"
1359255,225,27,233.7727,1,2,0,120,"Need Attention"
